"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5968","WorkForce-Company - Verify filtering by Status selection","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Filter","",""
"","3998","Insight-Worker Verify UI rows exist in downloaded CSV (Name + Company match)","","2026-05-11","passed","2026-05-11","","Insight Worker - Download","",""
"","1910","Should show validation error for missing Company Name","","2026-05-11","passed","2026-05-11","","Worker Module - File Upload and Download","",""
"","2876","Sending an Alert Message with Template","","2026-05-11","passed","2026-05-11","","Worker Alerts & SMS Communication Flow (UI + Twilio Integration)","",""
"","48712","Send onboarding invite, verify email delivery, and accept the invitation link","","2026-05-11","failed","2026-05-11","","Worker Onboarding Email Validation","",""
"","3583","Verifies the Phone filter works correctly","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","2221","Insights-Company - Verify adding company as favourite","","2026-05-11","passed","2026-05-11","","Insights Company - Favourite Page","",""
"","1605","Should not allow adding worker without Last Name","","2026-05-11","passed","2026-05-11","","Worker Module - Add Worker Tests","",""
"","3807","WorkForce-Company - Adding company document with invalid file type","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Documents Page","",""
"","2546","WorkForce-Company - Verify Company Name filter dropdown can be opened","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Filter","",""
"","1925","WorkForce-Company - Should display an error message when trying to upload an invalid file","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - File Upload","",""
"","1855","WorkForce-Company - Verify clearing all filters works correctly","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Filter","",""
"","2428","WorkForce-Company - Verify pagination is visible and default page is focused","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Pagination","",""
"","5118","WorkForce-Company - Searching with partial keywords","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Search","",""
"","19285","Insights-Company - Validate Avg Daily Work Hours graph tooltip content matches backend API data on hover","","2026-05-11","passed","2026-05-11","","Insights Company - Workforce Dashboard Cards","",""
"","6349","Should upload CSV, verify worker details, and delete the entry","","2026-05-11","passed","2026-05-11","","Worker Module - File Upload and Download","",""
"","3488","Validate the Change Value functionality - Crew","","2026-05-11","passed","2026-05-11","","Worker Module - overflowMenu","",""
"","7042","WorkForce-Company - Should verify downloaded Company CSV content matches UI Company list","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Download CSV","",""
"","3454","WorkForce-Company - Validate adding and updating column settings","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - column","",""
"","2956","WorkForce-Company - Verify remove company from Favorite","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Favourite Page","",""
"","1481","Verify the Save button is disabled unless the inputs are selected from the drop-down of Cost Code, Crew, Job Title.","","2026-05-11","passed","2026-05-11","","Worker Module - overflowMenu","",""
"","918","marks uppercase rule as unmet when password has no uppercase letter","","2026-05-11","passed","2026-05-11","","Sign Up","",""
"","2864","WorkForce-Company - Verify company details card is displayed correctly on clicking overflow menu","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - General Details","",""
"","2013","Should show warning when adding existing worker","","2026-05-11","passed","2026-05-11","","Worker Module - Add Worker Tests","",""
"","5301","Displays yellow row and red warning icon for documents expiring within 7 days","","2026-05-11","passed","2026-05-11","","Worker Module - Documents Page","",""
"","37204","Should show - while the project code is invalid","","2026-05-11","failed","2026-05-11","","Worker Module - File Upload and Download","",""
"","6156","WorkForce-Company - Validating the search functionality - run twice (using TaskTrade API)","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Search","",""
"","6344","Insights-Company - Verify clicking on 'x' available on the search bar to clear off the text and search applied","","2026-05-11","passed","2026-05-11","","Insight Company - Search ","",""
"","3677","Insight-Worker - save button should be enabled when there is a change","","2026-05-11","passed","2026-05-11","","Insight-worker Module - column","",""
"","34933","WorkForce-Company - Should merge 3 companies with workers and validate all workers are present","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - overflow menu","",""
"","3630","should generate printable badge without API call","","2026-05-11","passed","2026-05-11","","Worker Module - Access Control Page Tests","",""
"","2707","WorkForce-Company - Displays checked columns in table preserving drawer order","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - column","",""
"","1234","Should display message when uploading a CSV with no worker data","","2026-05-11","passed","2026-05-11","","Worker Module - File Upload and Download","",""
"","3221","Insights-Company - Validate document records with strict API matching","","2026-05-11","passed","2026-05-11","","Insights Company - Company Profile View","",""
"","318","Verify the table header filter icon (funnel icon) is visible","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","1189","Verify LAST page disables Next button","","2026-05-11","passed","2026-05-11","","Worker Module - Pagination","",""
"","31702","Verify Filter of the different column for Job (Title)","","2026-05-11","failed","2026-05-11","","Worker Module - Filter","",""
"","5894","Insights-Worker - Validate the Job Title Filter (UI only + update if empty)","","2026-05-11","passed","2026-05-11","","Insight Worker - Filter Functionality","",""
"","4622","Deleting a licence","","2026-05-11","passed","2026-05-11","","Worker Module - Documents Page","",""
"","3210","WorkForce-Company - Should cancel deletion when Cancel is clicked","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - overflow menu","",""
"","9874","Insights-Company - Verify the downloaded quick report is in CSV format","","2026-05-11","passed","2026-05-11","","Insights Company Module - Download","",""
"","973","toggles password visibility when the show/hide icon is clicked","","2026-05-11","passed","2026-05-11","","Sign Up","",""
"","4229","WorkForce-Company - Searching by safety manager name","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Search","",""
"","4316","Verify the availability of Emergency Contact fields on Column settings page","","2026-05-11","passed","2026-05-11","","Worker Module - Column","",""
"","2542","Insights-workers - Verify FIRST page disables previous button","","2026-05-11","passed","2026-05-11","","Insights-Workers Module - Pagination","",""
"","8469","Verifies the Safety Alert filter works correctly for all rows","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","2959","Insights-Company - Actual Work-Days filter should return correct results based on range selection","","2026-05-11","passed","2026-05-11","","Companies Insights - Filter Functionality","",""
"","2871","Insights-Company - download for Current Week","","2026-05-11","passed","2026-05-11","","Insights Company Module - Download","",""
"","2358","Insight-Company - Modify and Save Existing Alert Template Successfully","","2026-05-11","passed","2026-05-11","","Insight-Company Module - Send Alert Functionality","",""
"","4359","WorkForce-Company - Update the company data and verify the changes persist","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - General Details","",""
"","10524","Insight-Company - Send General Communication and Verify Remaining Alerts & Twilio SMS","","2026-05-11","passed","2026-05-11","","Insight-Company Module - Send Alert Functionality","",""
"","5336","Insight-Company - Validate drag and drop column syncs with table headers","","2026-05-11","passed","2026-05-11","","Insight-Company Module - column","",""
"","45855","Insights-Company - Verify Certificate Type Filter using document name from row","","2026-05-11","failed","2026-05-11","","Companies Insights - Filter Functionality","",""
"","4678","WorkForce-Company - Search Compatibility with Filter Feature (Apply Search after Filter)","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Search","",""
"","1223","Insights-Company - Clicking outside closes calendar","","2026-05-11","passed","2026-05-11","","Insights-Company Module - Calendar & Download Validation","",""
"","3619","WorkForce-Company - Modifying and Saving an Existing Alert Template","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module- Alerts & SMS Communication Flow (UI + Twilio Integration)","",""
"","1561","WorkForce-Company - Validate the Back button functionality while clicking picture","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Add Company","",""
"","0","Insights-Worker - Filter by Trade Classification and validate inclusivity & exclusivity via API","","2026-05-11","skipped","2026-05-11","","Insight Worker - Filter Functionality","",""
"","40860","Send onboarding invite and verify email delivery and content","","2026-05-11","passed","2026-05-11","","Worker Onboarding Email Validation","",""
"","4394","WorkForce-Company - Validate the UI of the company document form","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Documents Page","",""
"","10957","Verifies the Crew filter works correctly for all rows","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","4721","WorkForce-Company - Verify adding company with all fields filled","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Add Company","",""
"","9545","WorkForce-Company - Sending a General Communication Message and verifying Remaining Alerts & Twilio SMS","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module- Alerts & SMS Communication Flow (UI + Twilio Integration)","",""
"","32011","Insights-Company - Verify that the latest company added to favorites is displayed at the top of the favorites list.","","2026-05-11","failed","2026-05-11","","Insights Company - Favourite Page","",""
"","17188","WorkForce-Company - Add a worker and verify total workers count increases","","2026-05-11","passed","2026-05-11","","Companies Module - Worker Stepper","",""
"","2567","WorkForce-Company - Verify that clicking in “clear” clears the input boxes","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - column","",""
"","2408","Verify that the 1st field (No. of Period) of 'Expires In' should not accept the decimal number.","","2026-05-11","passed","2026-05-11","","Worker Module - Documents Page","",""
"","4315","Verify remove worker page from Favorite","","2026-05-11","passed","2026-05-11","","Worker Module - Favorites","",""
"","1386","Insight-Worker - reset the column setting","","2026-05-11","passed","2026-05-11","","Insight-worker Module - column","",""
"","6859","Verify Disable Worker Functionality for multiple user","","2026-05-11","passed","2026-05-11","","Worker Module - overflowMenu","",""
"","3690","Insights-Company - Verify Avg Daily Workers tooltip on hover","","2026-05-11","passed","2026-05-11","","Insights Company - Workforce Dashboard Cards","",""
"","4222","Insights-Company - Validate companies onsite today count matches API","","2026-05-11","passed","2026-05-11","","Insights Company - Insights Company Info-card","",""
"","5283","WorkForce-Company - Verify filtering by Address","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Filter","",""
"","2672","Validating search functionality based on Last Seen Location in use","","2026-05-11","passed","2026-05-11","","Worker Module - Search","",""
"","6737","Verify Column settings reset functionality","","2026-05-11","passed","2026-05-11","","Worker Module - Column","",""
"","14314","should send invite and navigate to sign up page","","2026-05-11","passed","2026-05-11","","Sign Up","",""
"","5890","WorkForce-Company - Verify filtering by Primary Trade selection","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Filter","",""
"","9940","WorkForce-Company - shows error message when invalid phone number is entered while adding a company","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Add Company","",""
"","1534","WorkForce-Company - Validate submitting the Add Company form while leaving all field empty","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Add Company","",""
"","828","marks 8 character rule as unmet when password is shorter than 8 characters","","2026-05-11","passed","2026-05-11","","Sign Up","",""
"","2238","X clicking should collapse the Field Settings drawer","","2026-05-11","passed","2026-05-11","","Worker Module - Field Settings","",""
"","1777","WorkForce-Company - Verify that the latest company added to favorites is displayed at the top of the favorites list.","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Favourite Page","",""
"","4193","should allow assigning a random device and persist the value","","2026-05-11","passed","2026-05-11","","Worker Module - Access Control Page Tests","",""
"","3483","Insight-Company - save button should be enabled when their is chnage","","2026-05-11","passed","2026-05-11","","Insight-Company Module - column","",""
"","4870","Insights-Worker - Verify the search is cleared once the whole text from the search bar is cleared","","2026-05-11","passed","2026-05-11","","Insight Worker - Search ","",""
"","19379","WorkForce-Company - Add a flagged worker and verify total flagged count increases","","2026-05-11","passed","2026-05-11","","Companies Module - Worker Stepper","",""
"","0","Insights-Worker - Verify Email Filter","","2026-05-11","skipped","2026-05-11","","Insight Worker - Filter Functionality","",""
"","2487","WorkForce-Company - Verify Next and previous button navigates to respective page","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Pagination","",""
"","7568","Send Onboarding Invite - No Worker Selected","","2026-05-11","passed","2026-05-11","","Worker Onboarding Email Validation","",""
"","1328","Verify pagination breaks into pages if 100+ workers exist","","2026-05-11","passed","2026-05-11","","Worker Module - Pagination","",""
"","3743","Verifies the Sex filter works correctly","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","2386","WorkForce-Company - Clicking Cancel button closes the Details Drawer page","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - General Details","",""
"","1878","Insights-Company - Workers On-site filter - only min set should return results greater than or equal to min","","2026-05-11","passed","2026-05-11","","Companies Insights - Filter Functionality","",""
"","32842","Download uploaded document - validate downloaded file name","","2026-05-11","failed","2026-05-11","","Worker Module - Documents Page","",""
"","3754","WorkForce-Company - Deleting a company certificate","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Documents Page","",""
"","4473","Verify filter Interaction with Search Bar Filter","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
