"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4281","WorkForce-Company - Update the company data and verify the changes persist","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - General Details","",""
"","41142","Send onboarding invite and verify email delivery and content","","2026-05-13","passed","2026-05-13","","Worker Onboarding Email Validation","",""
"","7347","WorkForce-Company - Displays red warning icon for company documents expired or expiring today","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Documents Page","",""
"","3752","Verify the deletion functionality for the selected user.","","2026-05-13","passed","2026-05-13","","Worker Module - overflowMenu","",""
"","934","Portfolio-Dashboard  - Validate the adding project form  ","","2026-05-13","passed","2026-05-13","","Portfolio Dashboard - Overview Validation","",""
"","7961","should validate Workers On-site Today count in Luzmo matches API","","2026-05-13","passed","2026-05-13","","Dashboard - Project Overview","",""
"","45644","WorkForce-Company - Should merge 3 companies with workers and validate all workers are present","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - overflow menu","",""
"","6492","WorkForce-Company - Should add a worker by uploading a valid CSV file","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - File Upload","",""
"","2953","WorkForce-Company - Deleting a company certificate","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Documents Page","",""
"","10572","Insight-Company - Clicking on-site today icon on a row with workers should show correct worker count on navigation","","2026-05-13","passed","2026-05-13","","Insights Companies Module - Selection Functionality","",""
"","6155","Insight-Company - Switching to list layout should hide stat cards and switching back should show them","","2026-05-13","passed","2026-05-13","","Insights Companies Module - Selection Functionality","",""
"","22062","WorkForce-Company - Should not delete a company which has workers, then cleanup","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - overflow menu","",""
"","2616","Insight-Worker - reset the column setting","","2026-05-13","passed","2026-05-13","","Insight-worker Module - column","",""
"","7686","WorkForce-Company - Verify filtering by Total Worker filter","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Filter","",""
"","5806","WorkForce-Company - Validating the search functionality - run twice (using TaskTrade API)","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Search","",""
"","3058","delete all the customize tab and add Add workers On-site ","","2026-05-13","passed","2026-05-13","","WorkForceOS","",""
"","11509","Insights - Validate Most Active Zones","","2026-05-13","passed","2026-05-13","","Insights Company - Insights Company Info-card","",""
"","3634","Insights-Company - Verify by default the start date and end date displayed on the download page is same as the one displayed on insight company page.","","2026-05-13","passed","2026-05-13","","Insights Company Module - Download","",""
"","3909","Insight-Worker validate Average daily work hour","","2026-05-13","passed","2026-05-13","","Insight-Worker Metrics Summary Info Card","",""
"","2340","WorkForce-Company - should display correct total worker count when selecting all workers via header checkbox","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Selection Functionality","",""
"","5727","WorkForce-Company - Enforces maximum character limit for General Communication messages","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module- Alerts & SMS Communication Flow (UI + Twilio Integration)","",""
"","4312","Insights-Company - download for Today","","2026-05-13","passed","2026-05-13","","Insights Company Module - Download","",""
"","9739","WorkForce-Company - Sending a General Communication Message and verifying Remaining Alerts & Twilio SMS","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module- Alerts & SMS Communication Flow (UI + Twilio Integration)","",""
"","2576","Verify Red Warning Indicator Appears in Safety Audit Section When Alerts Exist","","2026-05-13","passed","2026-05-13","","Worker Module - Safety Audit","",""
"","1399","Insights-Company - Verify Workforce Variance dialog is visible on Avg Daily Workers graph hover","","2026-05-13","passed","2026-05-13","","Insights Company - Workforce Dashboard Cards","",""
"","11405","BOB AI - Verify AI response to ""hi"" prompt contains project ID","","2026-05-13","passed","2026-05-13","","BOBAI","",""
"","1231","Portfolio-Dashboard  - Dashboard section as we login ","","2026-05-13","passed","2026-05-13","","Portfolio Dashboard - Overview Validation","",""
"","3372","WorkForce-Company - Validate adding and updating column settings","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - column","",""
"","15377","should send invite and navigate to sign up page","","2026-05-13","passed","2026-05-13","","Sign Up","",""
"","3539","Verify Safety Audit Drawer UI and Default Filters Display Correctly","","2026-05-13","passed","2026-05-13","","Worker Module - Safety Audit","",""
"","17600","should display the detailed report page correctly","","2026-05-13","passed","2026-05-13","","Dashboard - Detailed Report","",""
"","2282","Validate the options in overflow menu","","2026-05-13","passed","2026-05-13","","Worker Module - overflowMenu","",""
"","3005","Validates the UI of the Field Settings drawer","","2026-05-13","passed","2026-05-13","","Worker Module - Field Settings","",""
"","3822","Validate the Change Value for multiple user using select feature","","2026-05-13","passed","2026-05-13","","Worker Module - overflowMenu","",""
"","3761","Verify workers data is downloaded based on applied search filter","","2026-05-13","passed","2026-05-13","","Worker Module - overflowMenu","",""
"","1882","X clicking should collapse the Field Settings drawer","","2026-05-13","passed","2026-05-13","","Worker Module - Field Settings","",""
"","2227","WorkForce-Company - Validate uploading a file with invalid email","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - File Upload","",""
"","1329","Authentication - should successfully log out and redirect to login page","","2026-05-13","passed","2026-05-13","","Authentication - Logout Functionality","",""
"","2190","Insights-Company | Verify selected worker count updates when a single worker is selected","","2026-05-13","passed","2026-05-13","","Insights Companies Module - Selection Functionality","",""
"","6343","verifies resolving an alert moves it from Unresolved to Resolved list","","2026-05-13","passed","2026-05-13","","Worker Module - Safety Audit","",""
"","1890","WorkForce-Company - should display correct count when a single worker is selected","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Selection Functionality","",""
"","4842","WorkForce-Company - Should perform case-insensitive search with all case variations","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Search","",""
"","3499","Insights-Company - Verify Companies On-site today card","","2026-05-13","passed","2026-05-13","","Insights Company - Workforce Dashboard Cards","",""
"","5013","Insights-Company - Validate companies onsite today count matches API","","2026-05-13","passed","2026-05-13","","Insights Company - Insights Company Info-card","",""
"","11590","WorkForce-Company - Should update an existing company certificate","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Documents Page","",""
"","9138","should display the project overview page correctly","","2026-05-13","passed","2026-05-13","","Dashboard - Project Overview","",""
"","4286","WorkForce-Company - Verify remove company from Favorite","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Favourite Page","",""
"","4080","Insights-Company - Verify Workforce Consistency graph is visible","","2026-05-13","passed","2026-05-13","","Insights Company - Workforce Dashboard Cards","",""
"","3165","Insights-Company - Verify selected company name appears in onsite selection panel","","2026-05-13","passed","2026-05-13","","Insights Company - Company Profile View","",""
"","4886","WorkForce-Company - Validate table values match General Details card","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - General Details","",""
"","1800","Insight-Worker - clicking on the x icon should close the column setting drawer","","2026-05-13","passed","2026-05-13","","Insight-worker Module - column","",""
"","3954","Insight-Worker Most active zones for selected worker","","2026-05-13","passed","2026-05-13","","Insight-Worker Insight Worker Info Card","",""
"","1001","BOB AI - Verify landing page UI elements are visible","","2026-05-13","passed","2026-05-13","","BOBAI","",""
"","38965","Adding company with worker uploading feature","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Add Company","",""
"","1723","WorkForce-Company - Verify adding company as favourite","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Favourite Page","",""
"","4611","Verify Safety Audit Alert Filters (All, Resolved, Unresolved) Functionality","","2026-05-13","passed","2026-05-13","","Worker Module - Safety Audit","",""
"","7519","WorkForce-Company - Should verify downloaded Company CSV content matches UI Company list","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Download CSV","",""
"","2353","WorkForce-Company - Verify Company Name filter dropdown can be opened","","2026-05-13","passed","2026-05-13","","WorkForce Companies Module - Filter","",""
"","1302","WorkForceOS - Validate the Kwant Project Score is accurate","","2026-05-13","passed","2026-05-13","","WorkForceOS","",""
"","1400","Insights-Company | Verify selected worker count label disappears when the worker is unchecked","","2026-05-13","passed","2026-05-13","","Insights Companies Module - Selection Functionality","",""
"","27620","Verify Worker Row Status Colors for all rows except first","","2026-05-13","passed","2026-05-13","","Insights Worker - Worker Profile View","",""
"","3332","Insight-Worker Validate Worker on-site today card displays correct information","","2026-05-13","passed","2026-05-13","","Insight-Worker Insight Worker Info Card","",""
"","2274","WorkForceOS - Verify that the workforce OS page loads successfully","","2026-05-13","passed","2026-05-13","","WorkForceOS","",""
"","1434","ZoneIQ - Verify that the zoneIQ page Loads successfully","","2026-05-13","passed","2026-05-13","","ZoneIQ","",""
"","1899","Authentication - should successfully log in with valid credentials","","2026-05-13","passed","2026-05-13","","Authentication - Login Functionality","",""
"","13339","Send onboarding invite - Worker with no email","","2026-05-13","passed","2026-05-13","","Worker Onboarding Email Validation","",""
"","3116","Insights-Company - Verify company full profile opens with correct details","","2026-05-13","passed","2026-05-13","","Insights Company - Company Profile View","",""
"","8503","Insight-Worker validate Average daily work hour Graphs","","2026-05-13","passed","2026-05-13","","Insight-Worker Metrics Summary Info Card","",""
"","24762","Should add worker with all fields filled","","2026-05-13","passed","2026-05-13","","Worker Module - Add Worker Tests","",""
"","6900","Insights-Worker - Validate company general details match API data","","2026-05-13","passed","2026-05-13","","Insights Worker - Worker Profile View","",""
"","3088","Applies a random field setting and verifies it in Personal Details","","2026-05-13","passed","2026-05-13","","Worker Module - Field Settings","",""
"","4557","should delete a safety alert and verify it is no longer visible in the same list","","2026-05-13","passed","2026-05-13","","Worker Module - Safety Audit","",""
"","20742","WorkForce-Company - Add a flagged worker and verify total flagged count increases","","2026-05-13","passed","2026-05-13","","Companies Module - Worker Stepper","",""
"","4363","Insight-Worker - Clicking Last Update button should refresh table and return 200","","2026-05-13","passed","2026-05-13","","Insights Workers Module - View Controls","",""
